NO	Lat	Location	Lon	Pl
473	25.04539	台北盆地	121.532	2.71
474	24.9855	台北盆地	121.5655	2.73
475	25.00717	台北盆地	121.5134	2.74
476	25.07344	台北盆地	121.5448	2.74
477	24.98234	台北盆地	121.5631	2.81
478	25.0037	台北盆地	121.4908	2.9
479	25.08427	台北盆地	121.481	2.93
480	25.05205	台北盆地	121.6042	2.93
481	25.06797	台北盆地	121.5443	3
482	25.07351	台北盆地	121.4818	3.02
483	25.08671	台北盆地	121.4948	3.08
484	24.9747	台北盆地	121.4431	3.09
485	25.06629	台北盆地	121.6182	3.09
486	25.06371	台北盆地	121.5381	3.13
487	25.12419	台北盆地	121.5003	3.23
488	24.98203	台北盆地	121.4327	3.28
489	25.02865	台北盆地	121.5179	3.28
490	25.08672	台北盆地	121.5194	3.35
491	25.05717	台北盆地	121.5818	3.36
492	25.06704	台北盆地	121.6312	3.4
493	25.00412	台北盆地	121.4195	3.45
494	25.04717	台北盆地	121.5098	3.45
495	24.97366	台北盆地	121.5497	3.45
496	25.01842	台北盆地	121.4712	3.46
497	25.02653	台北盆地	121.4847	3.46
498	25.02616	台北盆地	121.5088	3.46
499	25.05897	台北盆地	121.6055	3.48
500	25.01977	台北盆地	121.4726	3.57
501	25.00361	台北盆地	121.4278	3.64
502	25.0476	台北盆地	121.5586	3.64
503	25.03936	台北盆地	121.4605	3.66
504	25.08118	台北盆地	121.4788	3.67
505	25.03747	台北盆地	121.5827	3.67
506	25.085	台北盆地	121.5548	3.68
507	24.99854	台北盆地	121.4937	3.72
508	25.04809	台北盆地	121.5591	3.74
509	25.08519	台北盆地	121.5023	3.78
510	25.0615	台北盆地	121.6178	3.82
511	25.01639	台北盆地	121.4732	3.84
512	25.06422	台北盆地	121.5043	3.84
513	25.04924	台北盆地	121.51	3.85
514	25.12145	台北盆地	121.4859	3.86
515	25.07171	台北盆地	121.5246	3.87
516	25.0537	台北盆地	121.6123	3.88
517	25.02503	台北盆地	121.484	3.96
518	25.03836	台北盆地	121.5123	3.97
519	24.97572	台北盆地	121.4407	3.99
520	25.04735	台北盆地	121.5099	4
521	25.00466	台北盆地	121.4387	4.03
522	25.03996	台北盆地	121.5827	4.05
523	25.00609	台北盆地	121.4251	4.06
524	25.02674	台北盆地	121.4837	4.06
525	25.03091	台北盆地	121.4937	4.06
526	25.033	台北盆地	121.569	4.06
527	25.05281	台北盆地	121.6066	4.06
528	25.07968	台北盆地	121.4721	4.07
529	25.06392	台北盆地	121.5381	4.09
530	25.01333	台北盆地	121.5051	4.1
531	24.98217	台北盆地	121.466	4.11
532	25.03092	台北盆地	121.5258	4.19
533	25.08247	台北盆地	121.4805	4.27
534	25.06321	台北盆地	121.5103	4.3
535	25.01924	台北盆地	121.4748	4.32
536	25.04755	台北盆地	121.5605	4.32
537	25.07204	台北盆地	121.5249	4.34
538	25.03088	台北盆地	121.5131	4.38
539	25.03357	台北盆地	121.5018	4.39
540	25.07258	台北盆地	121.5243	4.4
541	25.07175	台北盆地	121.525	4.4
542	24.99831	台北盆地	121.4279	4.41
543	24.99669	台北盆地	121.5035	4.41
544	25.05183	台北盆地	121.4837	4.46
545	25.03335	台北盆地	121.5193	4.47
546	24.99438	台北盆地	121.4289	4.48
547	25.05746	台北盆地	121.4596	4.53
548	24.98102	台北盆地	121.4643	4.53
549	25.0329	台北盆地	121.4997	4.54
550	25.04548	台北盆地	121.5287	4.56
551	25.07205	台北盆地	121.5247	4.57
552	25.0313	台北盆地	121.4346	4.65
553	25.07356	台北盆地	121.4863	4.65
554	25.08567	台北盆地	121.5047	4.65
555	25.04802	台北盆地	121.5606	4.67
556	24.98118	台北盆地	121.4272	4.68
557	25.03309	台北盆地	121.5193	4.73
558	25.03749	台北盆地	121.5803	4.78
559	25.0726	台北盆地	121.5247	4.8
560	25.0332	台北盆地	121.5592	4.8
561	25.03301	台北盆地	121.5538	4.83
562	25.02444	台北盆地	121.4677	4.85
563	25.05024	台北盆地	121.4801	4.85
564	25.05147	台北盆地	121.5532	4.86
565	25.01069	台北盆地	121.5017	4.87
566	25.04844	台北盆地	121.5594	4.87
567	25.01481	台北盆地	121.4645	4.9
568	25.03744	台北盆地	121.582	4.92
569	25.05732	台北盆地	121.5898	4.92
570	25.05551	台北盆地	121.4596	4.93
571	25.05697	台北盆地	121.46	4.96
572	25.0482	台北盆地	121.4597	5.01
573	25.00393	台北盆地	121.5139	5.1
574	24.99193	台北盆地	121.5163	5.11
575	25.0332	台北盆地	121.5583	5.14
576	25.06241	台北盆地	121.5279	5.16
577	25.02908	台北盆地	121.5186	5.19
578	25.0453	台北盆地	121.5323	5.2
579	25.00329	台北盆地	121.4296	5.21
580	25.01268	台北盆地	121.4195	5.22
581	25.05423	台北盆地	121.4856	5.25
582	25.01597	台北盆地	121.487	5.3
583	25.07163	台北盆地	121.5611	5.31
584	25.05834	台北盆地	121.4896	5.33
585	25.00802	台北盆地	121.5132	5.36
586	25.0052	台北盆地	121.4357	5.37
587	25.0333	台北盆地	121.5386	5.38
588	25.03555	台北盆地	121.4814	5.48
589	25.09572	台北盆地	121.5297	5.51
590	25.0156	台北盆地	121.5087	5.58
591	25.06392	台北盆地	121.5379	5.61
592	25.07237	台北盆地	121.4672	5.62
593	25.07261	台北盆地	121.5254	5.65
594	24.99039	台北盆地	121.5707	5.67
595	25.04702	台北盆地	121.5592	5.72
596	25.09315	台北盆地	121.52	5.76
597	25.04523	台北盆地	121.5318	5.77
598	25.06087	台北盆地	121.4597	5.8
599	25.06393	台北盆地	121.5377	5.83
600	25.0268	台北盆地	121.4863	5.85
601	25.04879	台北盆地	121.5104	5.85
602	25.00168	台北盆地	121.5111	5.85
603	25.09598	台北盆地	121.5303	5.86
604	25.00415	台北盆地	121.4314	5.88
605	25.07151	台北盆地	121.5177	5.89
606	24.99447	台北盆地	121.4974	5.9
607	25.0758	台北盆地	121.4621	5.94
608	25.02753	台北盆地	121.466	5.96
609	25.0444	台北盆地	121.4597	5.97
610	25.0306	台北盆地	121.5243	5.99
611	25.01132	台北盆地	121.4203	6.02
612	25.03622	台北盆地	121.4534	6.03
613	25.02703	台北盆地	121.4865	6.03
614	25.07091	台北盆地	121.5177	6.07
615	25.05189	台北盆地	121.5346	6.11
616	25.02736	台北盆地	121.4862	6.12
617	25.0312	台北盆地	121.5135	6.12
618	25.06411	台北盆地	121.5378	6.13
619	25.04818	台北盆地	121.5602	6.13
620	25.04793	台北盆地	121.4771	6.14
621	25.0578	台北盆地	121.621	6.15
622	24.98071	台北盆地	121.4644	6.18
623	24.99454	台北盆地	121.4983	6.18
624	25.00583	台北盆地	121.5143	6.19
625	25.05215	台北盆地	121.5363	6.21
626	25.06324	台北盆地	121.5103	6.24
627	25.02627	台北盆地	121.4832	6.25
628	25.03339	台北盆地	121.5498	6.32
629	25.09577	台北盆地	121.5307	6.33
630	24.96101	台北盆地	121.4347	6.36
631	25.00622	台北盆地	121.4885	6.41
632	25.03366	台北盆地	121.4403	6.53
633	25.02961	台北盆地	121.5206	6.56
634	25.04501	台北盆地	121.4689	6.6
635	25.05185	台北盆地	121.5448	6.62
636	25.00385	台北盆地	121.4291	6.65
637	25.03764	台北盆地	121.5813	6.65
638	25.08835	台北盆地	121.4847	6.67
639	25.03068	台北盆地	121.5249	6.72
640	25.05915	台北盆地	121.5849	6.76
641	25.05389	台北盆地	121.6133	6.79
642	25.03324	台北盆地	121.497	6.82
643	25.07735	台北盆地	121.4992	6.86
644	25.03337	台北盆地	121.5513	6.86
645	25.0339	台北盆地	121.5011	6.93
646	25.02092	台北盆地	121.4743	6.94
647	25.03116	台北盆地	121.5133	6.95
648	25.06377	台北盆地	121.5375	7.01
649	25.03106	台北盆地	121.5134	7.05
650	25.04988	台北盆地	121.577	7.1
651	25.0268	台北盆地	121.4868	7.12
652	25.05865	台北盆地	121.5981	7.12
653	25.06523	台北盆地	121.6126	7.13
654	25.03365	台北盆地	121.5291	7.14
655	25.03367	台北盆地	121.4415	7.15
656	25.07447	台北盆地	121.4676	7.17
657	25.06072	台北盆地	121.4925	7.22
658	24.99093	台北盆地	121.5206	7.23
659	25.00805	台北盆地	121.4846	7.26
660	25.04823	台北盆地	121.5591	7.27
661	25.11505	台北盆地	121.4851	7.3
662	25.04491	台北盆地	121.5317	7.3
